"film_id","length","replacement_cost","case"
133,117,"14.99","True"
384,49,"19.99","True"
8,54,"15.99","True"
98,73,"12.99","True"
1,86,"20.99","True"
2,48,"12.99","True"
3,50,"18.99","True"
4,117,"26.99","True"
5,130,"22.99","True"
6,169,"17.99","True"
7,62,"28.99","True"
9,114,"21.99","True"
10,63,"24.99","True"
11,126,"16.99","True"
12,136,"22.99","True"
213,104,"19.99","True"
13,150,"21.99","True"
14,94,"23.99","True"
15,46,"10.99","True"
16,180,"23.99","True"
17,82,"14.99","True"
18,57,"27.99","True"
19,113,"20.99","True"
20,79,"23.99","True"
21,129,"17.99","True"
22,85,"10.99","True"
23,92,"9.99","True"
24,181,"19.99","True"
25,74,"15.99","True"
26,86,"15.99","True"
27,179,"12.99","True"
28,91,"16.99","True"
29,168,"11.99","True"
30,82,"27.99","True"
31,92,"16.99","True"
32,119,"11.99","True"
33,153,"15.99","True"
34,62,"29.99","True"
35,147,"24.99","True"
36,127,"12.99","True"
37,121,"28.99","True"
38,68,"25.99","True"
39,99,"10.99","True"
40,148,"22.99","True"
41,137,"17.99","True"
42,170,"10.99","True"
265,168,"28.99","True"
43,170,"15.99","True"
44,113,"21.99","True"
45,83,"14.99","True"
46,108,"13.99","True"
47,153,"23.99","True"
48,118,"24.99","True"
49,162,"22.99","True"
50,182,"20.99","True"
126,179,"16.99","True"
51,75,"10.99","True"
52,173,"29.99","True"
53,87,"25.99","True"
54,113,"15.99","True"
55,65,"27.99","True"
56,129,"15.99","True"
57,90,"18.99","True"
58,122,"16.99","True"
59,160,"20.99","True"
60,89,"22.99","True"
61,175,"28.99","True"
62,106,"23.99","True"
63,73,"21.99","True"
64,151,"26.99","True"
65,100,"20.99","True"
66,53,"27.99","True"
67,77,"24.99","True"
68,122,"26.99","True"
69,85,"21.99","True"
70,142,"26.99","True"
71,100,"25.99","True"
72,93,"12.99","True"
73,150,"22.99","True"
74,162,"18.99","True"
75,163,"14.99","True"
76,103,"23.99","True"
77,61,"15.99","True"
78,85,"12.99","True"
79,114,"10.99","True"
80,148,"21.99","True"
81,103,"29.99","True"
82,71,"13.99","True"
83,50,"18.99","True"
84,102,"13.99","True"
85,63,"29.99","True"
86,121,"11.99","True"
87,76,"14.99","True"
88,179,"17.99","True"
89,63,"22.99","True"
90,63,"11.99","True"
91,98,"17.99","True"
92,72,"19.99","True"
93,121,"27.99","True"
94,176,"14.99","True"
95,123,"18.99","True"
96,169,"21.99","True"
97,56,"24.99","True"
99,136,"14.99","True"
100,161,"21.99","True"
101,73,"26.99","True"
102,60,"20.99","True"
103,133,"27.99","True"
104,119,"17.99","True"
105,125,"21.99","True"
106,61,"14.99","True"
107,63,"13.99","True"
108,67,"19.99","True"
109,89,"17.99","True"
110,53,"25.99","True"
111,52,"17.99","True"
112,120,"22.99","True"
113,75,"19.99","True"
114,61,"26.99","True"
115,167,"27.99","True"
116,70,"10.99","True"
117,135,"15.99","True"
118,85,"26.99","True"
119,176,"22.99","True"
120,92,"16.99","True"
121,151,"15.99","True"
122,114,"11.99","True"
123,85,"22.99","True"
124,163,"16.99","True"
125,61,"19.99","True"
127,112,"14.99","True"
128,183,"10.99","True"
129,179,"16.99","True"
130,110,"24.99","True"
131,152,"12.99","True"
132,114,"25.99","True"
134,51,"21.99","True"
135,70,"22.99","True"
154,81,"12.99","True"
136,146,"26.99","True"
137,66,"21.99","True"
138,71,"29.99","True"
139,114,"21.99","True"
140,87,"23.99","True"
141,185,"11.99","True"
142,122,"24.99","True"
143,142,"17.99","True"
144,61,"24.99","True"
145,124,"25.99","True"
146,107,"24.99","True"
147,101,"16.99","True"
148,132,"13.99","True"
149,150,"21.99","True"
150,101,"9.99","True"
151,143,"26.99","True"
152,90,"13.99","True"
153,165,"18.99","True"
155,150,"26.99","True"
156,164,"15.99","True"
157,143,"29.99","True"
158,124,"16.99","True"
159,58,"12.99","True"
160,65,"12.99","True"
161,70,"27.99","True"
162,95,"13.99","True"
163,139,"29.99","True"
164,55,"20.99","True"
184,92,"24.99","True"
165,70,"27.99","True"
166,149,"19.99","True"
167,109,"10.99","True"
168,67,"23.99","True"
169,76,"19.99","True"
170,120,"28.99","True"
171,59,"13.99","True"
172,112,"12.99","True"
173,65,"25.99","True"
174,180,"13.99","True"
175,122,"27.99","True"
176,87,"21.99","True"
177,172,"20.99","True"
178,115,"25.99","True"
179,173,"14.99","True"
180,184,"27.99","True"
181,166,"10.99","True"
182,185,"9.99","True"
183,112,"14.99","True"
185,146,"10.99","True"
186,64,"17.99","True"
187,57,"12.99","True"
188,136,"24.99","True"
189,139,"23.99","True"
190,172,"23.99","True"
191,143,"27.99","True"
192,50,"19.99","True"
193,153,"20.99","True"
194,104,"22.99","True"
195,112,"16.99","True"
196,69,"29.99","True"
197,112,"27.99","True"
198,184,"22.99","True"
199,56,"29.99","True"
200,133,"27.99","True"
201,176,"18.99","True"
202,161,"26.99","True"
203,84,"9.99","True"
204,106,"25.99","True"
205,58,"22.99","True"
206,144,"25.99","True"
207,121,"26.99","True"
208,89,"16.99","True"
209,99,"24.99","True"
210,130,"13.99","True"
211,165,"20.99","True"
212,185,"14.99","True"
214,59,"13.99","True"
215,57,"27.99","True"
216,113,"16.99","True"
217,120,"20.99","True"
218,122,"22.99","True"
219,51,"20.99","True"
220,106,"13.99","True"
221,100,"9.99","True"
222,64,"27.99","True"
223,76,"24.99","True"
224,81,"29.99","True"
225,76,"19.99","True"
226,56,"20.99","True"
227,88,"17.99","True"
228,143,"16.99","True"
229,87,"12.99","True"
230,107,"20.99","True"
231,63,"27.99","True"
232,147,"29.99","True"
233,141,"17.99","True"
234,94,"27.99","True"
235,68,"13.99","True"
236,100,"19.99","True"
237,47,"21.99","True"
238,57,"29.99","True"
239,122,"16.99","True"
240,120,"10.99","True"
241,125,"20.99","True"
242,68,"13.99","True"
243,49,"22.99","True"
244,139,"26.99","True"
245,177,"28.99","True"
246,154,"16.99","True"
247,47,"19.99","True"
248,177,"20.99","True"
249,176,"26.99","True"
250,170,"26.99","True"
251,133,"19.99","True"
252,135,"18.99","True"
253,61,"18.99","True"
254,159,"11.99","True"
255,175,"21.99","True"
256,178,"20.99","True"
257,110,"14.99","True"
258,96,"11.99","True"
259,116,"15.99","True"
260,132,"9.99","True"
261,171,"13.99","True"
262,119,"17.99","True"
263,154,"14.99","True"
264,101,"13.99","True"
266,141,"27.99","True"
267,140,"14.99","True"
268,96,"27.99","True"
269,98,"22.99","True"
270,85,"29.99","True"
271,148,"12.99","True"
272,153,"9.99","True"
273,107,"14.99","True"
274,67,"20.99","True"
275,85,"11.99","True"
276,115,"28.99","True"
277,126,"24.99","True"
278,155,"19.99","True"
279,152,"11.99","True"
280,177,"26.99","True"
281,143,"9.99","True"
282,92,"20.99","True"
283,85,"10.99","True"
284,77,"23.99","True"
285,51,"18.99","True"
286,158,"16.99","True"
287,176,"19.99","True"
288,167,"20.99","True"
289,66,"25.99","True"
290,163,"29.99","True"
291,174,"10.99","True"
292,51,"20.99","True"
293,167,"17.99","True"
294,138,"26.99","True"
295,97,"14.99","True"
296,178,"23.99","True"
297,122,"29.99","True"
298,172,"13.99","True"
299,144,"9.99","True"
300,102,"21.99","True"
301,155,"24.99","True"
302,131,"29.99","True"
303,58,"27.99","True"
304,130,"28.99","True"
305,91,"24.99","True"
306,104,"12.99","True"
307,77,"9.99","True"
308,142,"13.99","True"
309,98,"29.99","True"
310,158,"20.99","True"
311,72,"14.99","True"
312,75,"20.99","True"
313,118,"11.99","True"
314,91,"13.99","True"
315,156,"10.99","True"
316,173,"18.99","True"
317,148,"25.99","True"
318,103,"14.99","True"
319,125,"22.99","True"
320,80,"28.99","True"
321,123,"21.99","True"
322,100,"29.99","True"
323,179,"22.99","True"
324,148,"11.99","True"
325,145,"29.99","True"
326,69,"18.99","True"
327,158,"24.99","True"
328,131,"28.99","True"
329,63,"15.99","True"
330,112,"22.99","True"
331,90,"25.99","True"
332,159,"16.99","True"
333,126,"16.99","True"
334,65,"21.99","True"
335,133,"23.99","True"
336,99,"22.99","True"
337,73,"11.99","True"
338,51,"23.99","True"
339,111,"17.99","True"
340,183,"14.99","True"
341,82,"13.99","True"
342,83,"28.99","True"
343,94,"14.99","True"
344,178,"28.99","True"
345,161,"17.99","True"
346,128,"13.99","True"
347,119,"17.99","True"
348,86,"9.99","True"
349,185,"27.99","True"
350,80,"21.99","True"
351,106,"10.99","True"
352,176,"22.99","True"
353,125,"22.99","True"
354,85,"18.99","True"
355,101,"18.99","True"
356,102,"10.99","True"
357,114,"13.99","True"
358,163,"29.99","True"
359,173,"20.99","True"
360,103,"24.99","True"
361,89,"25.99","True"
362,115,"13.99","True"
363,54,"12.99","True"
364,73,"14.99","True"
365,154,"21.99","True"
366,93,"29.99","True"
367,153,"20.99","True"
368,84,"20.99","True"
369,56,"22.99","True"
370,108,"26.99","True"
371,129,"17.99","True"
372,140,"26.99","True"
373,156,"14.99","True"
374,117,"29.99","True"
375,85,"17.99","True"
376,155,"20.99","True"
377,135,"20.99","True"
378,93,"24.99","True"
379,166,"14.99","True"
380,176,"11.99","True"
381,150,"25.99","True"
382,137,"21.99","True"
383,111,"13.99","True"
385,139,"26.99","True"
386,53,"12.99","True"
387,100,"27.99","True"
388,70,"16.99","True"
389,127,"9.99","True"
390,84,"20.99","True"
391,146,"25.99","True"
392,51,"13.99","True"
393,47,"19.99","True"
394,146,"21.99","True"
449,119,"12.99","True"
395,108,"28.99","True"
396,62,"18.99","True"
397,107,"26.99","True"
398,47,"21.99","True"
399,100,"23.99","True"
400,72,"15.99","True"
401,168,"10.99","True"
402,52,"15.99","True"
403,121,"18.99","True"
404,107,"26.99","True"
405,76,"13.99","True"
406,181,"22.99","True"
407,47,"12.99","True"
408,69,"28.99","True"
409,59,"9.99","True"
410,48,"19.99","True"
411,49,"13.99","True"
412,102,"25.99","True"
413,169,"16.99","True"
414,75,"23.99","True"
415,84,"23.99","True"
416,110,"10.99","True"
417,93,"29.99","True"
418,157,"27.99","True"
419,141,"19.99","True"
420,128,"27.99","True"
421,78,"10.99","True"
422,136,"25.99","True"
423,69,"29.99","True"
424,149,"12.99","True"
425,88,"20.99","True"
426,185,"15.99","True"
427,103,"19.99","True"
428,141,"21.99","True"
429,84,"29.99","True"
430,49,"23.99","True"
450,84,"29.99","True"
431,176,"12.99","True"
432,139,"22.99","True"
433,95,"23.99","True"
434,139,"25.99","True"
435,181,"28.99","True"
436,122,"14.99","True"
437,109,"13.99","True"
438,68,"22.99","True"
439,151,"28.99","True"
440,105,"21.99","True"
441,125,"21.99","True"
442,65,"24.99","True"
443,49,"11.99","True"
444,83,"22.99","True"
445,100,"11.99","True"
446,150,"19.99","True"
447,131,"28.99","True"
448,172,"25.99","True"
451,160,"12.99","True"
452,122,"15.99","True"
453,178,"17.99","True"
454,180,"20.99","True"
455,103,"11.99","True"
456,167,"18.99","True"
457,157,"21.99","True"
458,135,"26.99","True"
459,74,"23.99","True"
460,178,"26.99","True"
461,123,"14.99","True"
462,78,"17.99","True"
463,116,"21.99","True"
464,107,"13.99","True"
465,59,"17.99","True"
466,63,"20.99","True"
467,181,"10.99","True"
468,97,"12.99","True"
469,46,"27.99","True"
470,79,"24.99","True"
471,84,"23.99","True"
472,174,"24.99","True"
473,181,"16.99","True"
474,174,"21.99","True"
475,135,"29.99","True"
476,130,"9.99","True"
477,118,"15.99","True"
478,112,"10.99","True"
479,128,"12.99","True"
480,84,"29.99","True"
481,58,"22.99","True"
482,102,"12.99","True"
483,171,"29.99","True"
484,172,"13.99","True"
485,60,"16.99","True"
486,59,"14.99","True"
487,124,"29.99","True"
488,105,"23.99","True"
489,54,"14.99","True"
490,121,"13.99","True"
491,74,"18.99","True"
492,134,"11.99","True"
493,92,"18.99","True"
494,120,"21.99","True"
495,169,"10.99","True"
496,179,"10.99","True"
497,54,"15.99","True"
498,161,"11.99","True"
499,184,"24.99","True"
500,163,"11.99","True"
501,141,"9.99","True"
502,71,"21.99","True"
503,171,"24.99","True"
504,46,"25.99","True"
505,46,"24.99","True"
753,48,"20.99","True"
506,67,"14.99","True"
507,113,"13.99","True"
508,144,"18.99","True"
509,78,"26.99","True"
510,181,"29.99","True"
511,175,"23.99","True"
512,110,"25.99","True"
513,153,"21.99","True"
514,69,"17.99","True"
515,113,"14.99","True"
516,59,"18.99","True"
517,167,"28.99","True"
518,140,"15.99","True"
519,138,"27.99","True"
