"film_id","title","length","rental_count"
849,"Storm Happiness",57,"8"
789,"Shock Cabin",79,"8"
193,"Crossroads Casualties",153,"8"
378,"Greatest North",93,"8"
586,"Mockingbird Hollywood",60,"8"
730,"Ridgemont Submarine",46,"8"
434,"Horror Reign",139,"8"
595,"Moon Bunch",83,"8"
745,"Roses Treasure",162,"8"
764,"Saturday Lambs",150,"8"
767,"Scalawag Duck",183,"8"
1,"Academy Dinosaur",86,"8"
369,"Goodfellas Salute",56,"8"
199,"Cupboard Sinners",56,"8"
738,"Rocketeer Mother",178,"8"
638,"Operation Operation",156,"8"
109,"Butterfly Chocolat",89,"8"
295,"Expendable Stallion",97,"8"
174,"Confidential Interview",180,"8"
609,"Muscle Bright",185,"8"
127,"Cat Coneheads",112,"8"
444,"Hustler Party",83,"8"
973,"Wife Turn",183,"8"
266,"Dynamite Tarzan",141,"8"
403,"Harry Idaho",121,"8"
893,"Titans Jerk",91,"8"
301,"Family Sweet",155,"8"
239,"Dogma Family",122,"8"
873,"Sweethearts Suspects",108,"8"
683,"Pity Bound",60,"8"
468,"Invasion Cyclone",97,"8"
220,"Deer Virginian",106,"8"
525,"Loathing Legally",140,"8"
697,"Primary Glass",53,"8"
412,"Heavyweights Beast",102,"8"
231,"Dinosaur Secretary",63,"8"
880,"Telemark Heartbreakers",152,"8"
945,"Virginian Pluto",164,"8"
897,"Torque Bound",179,"8"
358,"Gilmore Boiled",163,"8"
206,"Dancing Fever",144,"8"
361,"Gleaming Jawbreaker",89,"8"
835,"Spy Mile",112,"8"
773,"Seabiscuit Punk",112,"8"
460,"Innocent Usual",178,"8"
69,"Beverly Outlaw",85,"8"
1000,"Zorro Ark",50,"8"
911,"Trip Newton",64,"8"
856,"Streetcar Intentions",73,"8"
73,"Bingo Talented",150,"8"
91,"Bound Cheaper",98,"8"
86,"Boogie Amelie",121,"8"
350,"Garden Island",80,"8"
621,"Network Peak",75,"8"
559,"Married Go",114,"8"
489,"Juggler Hardly",54,"8"
572,"Metropolis Coma",64,"8"
200,"Curtain Videotape",133,"8"
356,"Giant Troopers",102,"8"
531,"Lose Inch",137,"8"
382,"Grit Clockwork",137,"8"
331,"Forward Temple",90,"8"
31,"Apache Divine",92,"8"
870,"Swarm Gold",123,"8"
418,"Hobbit Alien",157,"8"
702,"Pulp Beverly",89,"8"
103,"Bucket Brotherhood",133,"8"
753,"Rush Goodfellas",48,"8"
748,"Rugrats Shakespeare",109,"8"
341,"Frost Head",82,"8"
500,"Kiss Glory",163,"8"
846,"Sting Personal",93,"8"
665,"Patton Interview",175,"7"
443,"Hurricane Affair",49,"7"
979,"Witches Panic",100,"7"
670,"Pelican Comforts",48,"7"
755,"Sabrina Midnight",99,"7"
556,"Maltese Hope",127,"7"
891,"Timberland Sky",69,"7"
790,"Shootist Superfly",67,"7"
320,"Flamingos Connecticut",80,"7"
115,"Campus Remember",167,"7"
554,"Malkovich Pet",159,"7"
555,"Mallrats United",133,"7"
833,"Splendor Patton",134,"7"
244,"Dorado Notting",139,"7"
816,"Snowman Rollercoaster",62,"7"
311,"Fiction Christmas",72,"7"
985,"Wonderland Christmas",111,"7"
810,"Slums Duck",147,"7"
993,"Wrong Behavior",178,"7"
37,"Arizona Bang",121,"7"
273,"Effect Gladiator",107,"7"
228,"Detective Vision",143,"7"
698,"Princess Giant",71,"7"
869,"Suspects Quills",47,"7"
922,"Undefeated Dalmations",107,"7"
172,"Coneheads Smoochy",112,"7"
409,"Heartbreakers Bright",59,"7"
563,"Massacre Usual",165,"7"
521,"Lies Treatment",147,"7"
122,"Carrie Bunch",114,"7"
397,"Hanky October",107,"7"
247,"Downhill Enough",47,"7"
22,"Amistad Midsummer",85,"7"
376,"Grapes Fury",155,"7"
786,"Shepherd Midsummer",113,"7"
814,"Snatch Slipper",110,"7"
119,"Caper Motions",176,"7"
715,"Range Moonwalker",147,"7"
720,"Redemption Comforts",179,"7"
391,"Half Outfield",146,"7"
941,"Videotape Arsenic",145,"7"
804,"Sleeping Suspects",129,"7"
579,"Minds Truman",149,"7"
450,"Idols Snatchers",84,"7"
951,"Voyage Legally",78,"7"
39,"Armageddon Lost",99,"7"
114,"Camelot Vacation",61,"7"
863,"Sun Confessions",141,"7"
590,"Money Harold",135,"7"
285,"English Bulworth",51,"7"
850,"Story Side",163,"7"
901,"Tracy Cider",142,"7"
349,"Gangs Pride",185,"7"
317,"Fireball Philadelphia",148,"7"
467,"Intrigue Worst",181,"7"
823,"South Wait",143,"7"
218,"Deceiver Betrayed",122,"7"
35,"Arachnophobia Rollercoaster",147,"7"
476,"Jason Trap",130,"7"
10,"Aladdin Calendar",63,"7"
374,"Graffiti Love",117,"7"
875,"Talented Homicide",173,"7"
852,"Strangelove Desire",103,"7"
112,"Calendar Gunfight",120,"7"
135,"Chance Resurrection",70,"7"
181,"Contact Anonymous",166,"7"
57,"Basic Easy",90,"7"
12,"Alaska Phantom",136,"7"
78,"Blackout Private",85,"7"
154,"Clash Freddy",81,"7"
367,"Goldmine Tycoon",153,"7"
234,"Disturbing Scarface",94,"7"
892,"Titanic Boondock",104,"7"
330,"Forrester Comancheros",112,"7"
902,"Trading Pinocchio",170,"7"
270,"Earth Vision",85,"7"
162,"Clueless Bucket",95,"7"
4,"Affair Prejudice",117,"7"
677,"Pianist Outfield",136,"7"
970,"Westward Seabiscuit",52,"7"
644,"Oscar Gold",115,"7"
625,"None Spiking",83,"7"
408,"Head Stranger",69,"7"
502,"Knock Warlock",71,"7"
723,"Reign Gentlemen",82,"7"
735,"Robbers Joon",102,"7"
982,"Women Dorado",126,"7"
284,"Enemy Odds",77,"7"
733,"River Outlaw",149,"7"
167,"Coma Head",109,"7"
263,"Durham Panky",154,"7"
11,"Alamo Videotape",126,"7"
464,"Intentions Empire",107,"7"
471,"Island Exorcist",84,"7"
771,"Scorpion Apollo",137,"7"
760,"Samurai Lion",110,"7"
319,"Fish Opus",125,"7"
879,"Telegraph Voyage",148,"7"
890,"Tights Dawn",172,"7"
484,"Jerk Paycheck",172,"7"
641,"Orange Grapes",76,"7"
366,"Goldfinger Sensibility",93,"7"
857,"Strictly Scarface",144,"7"
895,"Tomorrow Hustler",142,"7"
843,"Steel Santa",143,"7"
841,"Star Operation",181,"7"
447,"Ice Crossing",131,"7"
305,"Fatal Haunted",91,"7"
245,"Double Wrath",177,"7"
624,"Nightmare Chill",149,"7"
274,"Egg Igby",67,"7"
159,"Closer Bang",58,"7"
43,"Atlantis Cause",170,"7"
143,"Chill Luck",142,"7"
687,"Pocus Pulp",138,"7"
845,"Stepmom Dream",48,"7"
304,"Fargo Gandhi",130,"6"
437,"House Dynamite",109,"6"
18,"Alter Victory",57,"6"
6,"Agent Truman",169,"6"
958,"Wardrobe Phantom",178,"6"
363,"Go Purple",54,"6"
433,"Horn Working",95,"6"
512,"League Hellfighters",110,"6"
314,"Fight Jawbreaker",91,"6"
887,"Thief Pelican",135,"6"
